entity,country,indigenous_to_name,indigenous_to_entity,latitude,longitude,location_entity,location_name
Q2823170,Peru,Loreto,Q200938,,,,
Q35141,Ghana,,,,,,
Q35141,Ghana,Volta Region,Q712832,,,,
Q11214797,Philippines,,,,,,
Q11214797,Philippines,Abra,Q13711,,,,
Q11214797,Philippines,Apayao,Q13728,,,,
Q1971400,Uganda,,,,,,
Q1971400,Uganda,Bugiri District,Q1229798,,,,
Q1971400,Uganda,Busia District,Q1229800,,,,
Q1971400,Uganda,Tororo District,Q1186541,,,,
Q1971400,Uganda,Bukedea District,Q1375812,,,,
Q56440,,,,28.5,94.6666666667,,
Q56440,,,,28.3333333333,94.75,,
Q56440,,,,28.1666666667,94.6666666667,,
Q56440,,,,28.5,95.25,,
Q56440,India,,,,,,
Q56440,People's Republic of China,,,,,,
Q56440,India,Arunachal Pradesh,Q1162,,,,
Q56440,India,Assam,Q1164,,,,
Q63313752,India,,,,,,
Q63313752,India,Maharashtra,Q1191,,,,
Q63313752,India,Telangana,Q677037,,,,
Q34738,,,,5.41666666667,-4.58333333333,,
Q34738,Ivory Coast,,,,,,
Q34738,Ivory Coast,Lagunes region,Q639491,,,,
Q34738,Ivory Coast,Lagunes District,Q20980365,,,,
Q27776,,,,45.2333333333,40.5833333333,,
Q27776,,,,45.0,38.75,,
Q27776,,,,45.2166666667,39.7,,
Q27776,Russia,,,,,,
Q27776,Turkey,,,,,,
Q27776,Jordan,,,,,,
Q27776,Syria,,,,,,
Q27776,Russia,Republic of Adygea,Q3734,,,,
Q27776,Soviet Union,Republic of Adygea,Q3734,,,,
Q27776,Russia,Karachay-Cherkess Republic,Q5328,,,,
Q27776,Russia,Krasnodar Krai,Q3680,,,,
Q27776,Soviet Union,Krasnodar Krai,Q3680,,,,
Q14196,,,,-31.0,22.0,,
Q14196,South Africa,,,,,,
Q14196,Botswana,,,,,,
Q14196,Namibia,,,,,,
Q14196,Botswana,Botswana,Q963,,,,
Q14196,Botswana,Central District,Q57525,,,,
Q14196,Botswana,Ghanzi District,Q57571,,,,
Q14196,Botswana,Kgalagadi District,Q57581,,,,
Q14196,Botswana,Kgatleng District,Q57593,,,,
Q14196,Botswana,Southern District,Q57609,,,,
Q14196,South Africa,South Africa,Q258,,,,
Q14196,,Southern Africa,Q27394,,,,
Q3399642,,,,-6.16666666667,146.0,,
Q3399642,Papua New Guinea,,,,,,
Q3399642,Papua New Guinea,Eastern Highlands Province,Q849812,,,,
Q34737,,,,6.66666666667,10.0,,
Q34737,Cameroon,,,,,,
Q34737,Cameroon,North Region,Q502341,,,,
Q34737,Cameroon,West Region,Q165784,,,,
Q1526530,,,,-5.0,-78.0,,
Q1526530,Peru,,,,,,
Q1526530,Peru,Amazonas,Q201162,,,,
Q1526530,Peru,Cajamarca,Q205078,,,,
Q1526530,Peru,Loreto,Q200938,,,,
Q1526530,Peru,San Martín,Q211793,,,,
Q12953696,Philippines,,,,,,
Q12953696,Philippines,Northern Mindanao,Q13690,,,,
Q12953696,Philippines,Davao Region,Q13694,,,,
Q12953696,Philippines,Caraga,Q13704,,,,
Q12953696,Philippines,Agusan del Norte,Q13714,,,,
Q12953696,Philippines,Agusan del Sur,Q13721,,,,
Q12953696,Philippines,Bukidnon,Q13753,,,,
Q12953696,Philippines,Davao de Oro,Q13789,,,,
Q12953696,Philippines,Davao Oriental,Q13806,,,,
Q12953696,Philippines,Davao del Norte,Q13792,,,,
Q12953696,Philippines,Surigao del Norte,Q13889,,,,
Q12953696,Philippines,Surigao del Sur,Q13891,,,,
Q3399717,Philippines,,,,,,
Q3399717,Philippines,Mimaropa,Q13658,,,,
Q3399717,Philippines,Palawan,Q13869,,,,
Q4697175,India,,,,,,
Q4697175,India,Assam,Q1164,,,,
Q4697175,India,Manipur,Q1193,,,,
Q27969,,,,43.0,143.0,,
Q27969,Japan,,,,,,
Q27969,Russia,,,,,,
Q27969,Japan,Hokkaido Prefecture,Q1037393,,,,
Q27969,Russia,Kuril Islands,Q80389,,,,
Q27969,Russian Empire,Kuril Islands,Q80389,,,,
Q27969,Japan,Kuril Islands,Q80389,,,,
Q27969,Soviet Union,Kuril Islands,Q80389,,,,
Q27969,Russia,Sakhalin,Q7792,,,,
Q27969,Russian Empire,Sakhalin,Q7792,,,,
Q27969,Japan,Sakhalin,Q7792,,,,
Q27969,Soviet Union,Sakhalin,Q7792,,,,
Q3327405,,,,-12.0,-74.0,,
Q3327405,Peru,,,,,,
Q3327405,Peru,Huanuco,Q215221,,,,
Q3327405,Peru,Pasco,Q211208,,,,
Q3327405,Peru,Ucayali,Q207424,,,,
Q28059,,,,6.0,-59.5,,
Q28059,Brazil,,,,,,
Q28059,Guyana,,,,,,
Q28059,Venezuela,,,,,,
Q28059,Brazil,Roraima,Q42508,,,,
Q28059,Guyana,Cuyuni-Mazaruni,Q1146777,,,,
Q28059,Venezuela,Bolívar,Q191164,,,,
Q28059,Venezuela,Monagas,Q205776,,,,
Q28059,Venezuela,Delta Amacuro,Q201137,,,,
Q56643,,,,21.8333333333,99.8333333333,,
Q56643,Myanmar,,,,,,
Q56643,People's Republic of China,,,,,,
Q56643,Laos,,,,,,
Q56643,Thailand,,,,,,
Q56643,Vietnam,,,,,,
Q56643,Myanmar,Akha,Q417628,,,,
Q56643,People's Republic of China,Akha,Q417628,,,,
Q56643,Laos,Akha,Q417628,,,,
Q56643,Thailand,Akha,Q417628,,,,
Q56643,People's Republic of China,Yunnan,Q43194,,,,
Q56643,Laos,Luang Namtha Province,Q948691,,,,
Q56643,Laos,Phongsaly Province,Q334868,,,,
Q56643,Myanmar,Shan State,Q456847,,,,
Q56643,Thailand,Chiang Mai,Q233588,,,,
Q56643,Thailand,Chiang Rai,Q236419,,,,
Q56643,Thailand,Mae Hong Son,Q269270,,,,
Q34806,Cameroon,,,,,,
Q34806,Cameroon,Littoral,Q845172,,,,
Q34806,Cameroon,West Region,Q165784,,,,
Q34806,Cameroon,South Region,Q857122,,,,
Q14697894,,,,17.25,-98.5833333333,,
Q14697894,Mexico,,,,,,
Q14697894,Mexico,Guerrero,Q60158,,,,
Q14697894,Mexico,Oaxaca,Q34110,,,,
Q56688,,,,-4.66666666667,143.333333333,,
Q56688,Papua New Guinea,,,,,,
Q56688,Papua New Guinea,East Sepik Province,Q690880,,,,
Q3441595,,,,-6.0,145.416666667,,
Q3441595,Papua New Guinea,,,,,,
Q34837,,,,5.16666666667,-4.33333333333,,
Q34837,Ivory Coast,,,,,,
Q34837,Ivory Coast,Lagunes region,Q639491,,,,
Q34837,Ivory Coast,Lagunes District,Q20980365,,,,
Q3327367,,,,-3.0,128.333333333,,
Q3327367,Indonesia,,,,,,
Q3327367,Indonesia,,,,,Q5093,Maluku
Q3327367,Indonesia,Alune,Q4063073,,,,
Q3327367,Indonesia,Maluku,Q5093,,,,
Q3327389,,,,-22.5,135.0,,
Q3327389,Australia,,,,,,
Q3327389,Australia,Northern Territory,Q3235,,,,
Q3327389,Australia,Queensland,Q36074,,,,
Q3446626,,,,-4.21666666667,141.616666667,,
Q3446626,Papua New Guinea,,,,,,
Q3446626,Papua New Guinea,East Sepik Province,Q690880,,,,
Q3327399,,,,-3.58333333333,141.25,,
Q3327399,Papua New Guinea,,,,,,
Q3327399,Papua New Guinea,Sandaun Province,Q753689,,,,
Q35128,,,,-12.5,-70.5,,
Q35128,Peru,,,,,,
Q35128,Peru,Madre de Dios,Q210896,,,,
Q4740192,Indonesia,,,,,,
Q4740192,Indonesia,East Nusa Tenggara,Q5061,,,,
Q4740192,Indonesia,Lesser Sunda Islands,Q3803,,,,
Q1875885,,,,-1.83333333333,136.5,,
Q1875885,Indonesia,,,,,,
Q1875885,Indonesia,Papua,Q5095,,,,
Q12953835,Peru,,,,,,
Q12953835,Peru,Huanuco,Q215221,,,,
Q12953835,Peru,Lima region,Q211795,,,,
Q12953835,Peru,Lima Province,Q579240,,,,
Q12953835,Peru,Pasco,Q211208,,,,
Q3508015,,,,-3.83333333333,143.0,,
Q3508015,Papua New Guinea,,,,,,
Q3508025,,,,-5.25,145.583333333,,
Q3508025,Papua New Guinea,,,,,,
Q18748222,Philippines,,,,,,
Q18748222,Philippines,Ifugao,Q13812,,,,
Q18748222,Philippines,Mountain Province,Q13861,,,,
Q3508092,India,,,,,,
Q3508092,India,Assam,Q1164,,,,
Q3508092,India,Meghalaya,Q1195,,,,
Q3501942,,,,16.8333333333,-98.0,,
Q3501942,Mexico,,,,,,
Q3501942,Mexico,Guerrero,Q60158,,,,
Q3501942,Mexico,Oaxaca,Q34110,,,,
Q56235,India,,,,,,
Q56235,Myanmar,,,,,,
Q56235,India,Manipur,Q1193,,,,
Q3508107,Papua New Guinea,,,,,,
Q3508107,Papua New Guinea,Central Province,Q874942,,,,
Q3508107,Papua New Guinea,Oro Province,Q753686,,,,
Q3508001,,,,-7.21666666667,146.25,,
Q3508001,Papua New Guinea,,,,,,
Q3508001,Papua New Guinea,Morobe Province,Q853664,,,,
Q3508001,Papua New Guinea,Oro Province,Q753686,,,,
Q10950354,Papua New Guinea,,,,,,
Q10950354,Papua New Guinea,Southern Highlands Province,Q849801,,,,
Q56761,,,,25.6666666667,94.5,,
Q56761,India,,,,,,
Q56761,India,Maharashtra,Q1191,,,,
Q56761,India,Manipur,Q1193,,,,
Q56761,India,Nagaland,Q1599,,,,
Q3191906,Solomon Islands,,,,,,
Q3191906,Solomon Islands,Makira-Ulawa Province,Q1116700,,,,
Q3514481,,,,-4.0,139.333333333,,
Q3514481,Indonesia,,,,,,
Q3514481,Indonesia,Papua,Q5095,,,,
Q3508100,Papua New Guinea,,,,,,
Q3508100,Papua New Guinea,Sandaun Province,Q753689,,,,
Q28092,,,,46.0,-77.0,,
Q28092,Canada,,,,,,
Q28092,Canada,Ontario,Q1904,,,,
Q28092,Canada,Quebec,Q176,,,,
Q3504136,Papua New Guinea,,,,,,
Q3504136,Papua New Guinea,Madang Province,Q326254,,,,
Q3446690,Papua New Guinea,,,,,,
Q3446690,Papua New Guinea,Gulf Province,Q874980,,,,
Q3192221,Philippines,,,,,,
Q3192221,Philippines,Ifugao,Q13812,,,,
Q34845,,,,10.0833333333,0.25,,
Q34845,Ghana,,,,,,
Q34845,Togo,,,,,,
Q34845,Benin,,,,,,
Q34845,Benin,Atakora Department,Q29154,,,,
Q34845,Ghana,Northern Region,Q502215,,,,
Q34845,Togo,Savanes Region,Q279945,,,,
Q28395,,,,7.0,-3.5,,
Q28395,Ivory Coast,,,,,,
Q28395,Ghana,,,,,,
Q28395,Ivory Coast,Lagunes region,Q639491,,,,
Q28395,Ivory Coast,Comoé District,Q16629374,,,,
